Data Column	Flag Name	Start Time	End Time	Time Steps
Dir58mS	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Dir58mSStd	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Dir38mS	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Dir38mSStd	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd80mN	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd80mS	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd60mN	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd60mS	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd40mN	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd40mS	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd80mNStd	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd80mSStd	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd60mNStd	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd60mSStd	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd40mNStd	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd40mSStd	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd80mNMax	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd80mSMax	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd60mNMax	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd60mSMax	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd40mNMax	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd40mSMax	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Dir78mS	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Dir78mSStd	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Dir58mS	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Dir58mSStd	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Dir38mS	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Dir38mSStd	Icing	21/01/2017 00:00	21/01/2017 07:10	43
Spd80mN	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd80mS	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd60mN	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd60mS	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd40mN	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd40mS	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd80mNStd	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd80mSStd	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd60mNStd	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd60mSStd	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd40mNStd	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd40mSStd	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd80mNMax	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd80mSMax	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd60mNMax	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd60mSMax	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd40mNMax	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd40mSMax	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Dir78mS	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Dir78mSStd	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Dir58mS	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Dir58mSStd	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Dir38mS	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Dir38mSStd	Icing	28/01/2017 14:10	28/01/2017 17:30	20
Spd80mN	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd80mS	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd60mN	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd60mS	Icing	30/10/2017 01:40	30/10/2017 07:00	32
