Data Column	Flag Name	Start Time	End Time	Time Steps
Spd60mSStd	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd40mNStd	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd40mSStd	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd80mNMax	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd80mSMax	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd60mNMax	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd60mSMax	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd40mNMax	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd40mSMax	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Dir78mS	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Dir78mSStd	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Dir58mS	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Dir58mSStd	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Dir38mS	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Dir38mSStd	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Dir58m	Invalid	2016-12-26 07:00	2018-02-09 21:30	59127
Dir78m	Invalid	2017-08-11 02:10	2018-02-09 21:30	26324
Spd80m	Invalid	2017-09-04 00:30	2018-02-09 21:30	22878
Spd80m	Synthesized	2017-09-04 00:30	2018-02-09 21:30	22878
